"year","quarter","realgdp","realcons","unemp"
1959,1,2710.349,1707.4,5.8
1959,2,2778.801,1733.7,5.1
1959,3,2775.488,1751.8,5.3
1959,4,2785.204,1753.7,5.6
1960,1,2847.699,1770.5,5.2
1960,2,2834.39,1792.9,5.2
1960,3,2839.022,1785.8,5.6
1960,4,2802.616,1788.2,6.3
1961,1,2819.264,1787.7,6.8
1961,2,2872.005,1814.3,7
1961,3,2918.419,1823.1,6.8
1961,4,2977.83,1859.6,6.2
1962,1,3031.241,1879.4,5.6
1962,2,3064.709,1902.5,5.5
1962,3,3093.047,1917.9,5.6
1962,4,3100.563,1945.1,5.5
1963,1,3141.087,1958.2,5.8
1963,2,3180.447,1976.9,5.7
1963,3,3240.332,2003.8,5.5
1963,4,3264.967,2020.6,5.6
1964,1,3338.246,2060.5,5.5
1964,2,3376.587,2096.7,5.2
1964,3,3422.469,2135.2,5
1964,4,3431.957,2141.2,5
1965,1,3516.251,2188.8,4.9
1965,2,3563.96,2213,4.7
1965,3,3636.285,2251,4.4
1965,4,3724.014,2314.3,4.1
1966,1,3815.423,2348.5,3.9
1966,2,3828.124,2354.5,3.8
1966,3,3853.301,2381.5,3.8
1966,4,3884.52,2391.4,3.7
1967,1,3918.74,2405.3,3.8
1967,2,3919.556,2438.1,3.8
1967,3,3950.826,2450.6,3.8
1967,4,3980.97,2465.7,3.9
1968,1,4063.013,2524.6,3.7
1968,2,4131.998,2563.3,3.5
1968,3,4160.267,2611.5,3.5
1968,4,4178.293,2623.5,3.4
1969,1,4244.1,2652.9,3.4
1969,2,4256.46,2669.8,3.4
1969,3,4283.378,2682.7,3.6
1969,4,4263.261,2704.1,3.6
1970,1,4256.573,2720.7,4.2
1970,2,4264.289,2733.2,4.8
1970,3,4302.259,2757.1,5.2
1970,4,4256.637,2749.6,5.8
1971,1,4374.016,2802.2,5.9
1971,2,4398.829,2827.9,5.9
1971,3,4433.943,2850.4,6
1971,4,4446.264,2897.8,6
1972,1,4525.769,2936.5,5.8
1972,2,4633.101,2992.6,5.7
1972,3,4677.503,3038.8,5.6
1972,4,4754.546,3110.1,5.3
1973,1,4876.166,3167,5
1973,2,4932.571,3165.4,4.9
1973,3,4906.252,3176.7,4.8
1973,4,4953.05,3167.4,4.8
1974,1,4909.617,3139.7,5.1
1974,2,4922.188,3150.6,5.2
1974,3,4873.52,3163.6,5.6
1974,4,4854.34,3117.3,6.6
1975,1,4795.295,3143.4,8.2
1975,2,4831.942,3195.8,8.9
1975,3,4913.328,3241.4,8.5
1975,4,4977.511,3275.7,8.3
1976,1,5090.663,3341.2,7.7
1976,2,5128.947,3371.8,7.6
1976,3,5154.072,3407.5,7.7
1976,4,5191.499,3451.8,7.8
1977,1,5251.762,3491.3,7.5
1977,2,5356.131,3510.6,7.1
1977,3,5451.921,3544.1,6.9
1977,4,5450.793,3597.5,6.6
1978,1,5469.405,3618.5,6.3
1978,2,5684.569,3695.9,6
1978,3,5740.3,3711.4,6
1978,4,5816.222,3741.3,5.9
1979,1,5825.949,3760.2,5.9
1979,2,5831.418,3758,5.7
1979,3,5873.335,3794.9,5.9
1979,4,5889.495,3805,5.9
1980,1,5908.467,3798.4,6.3
1980,2,5787.373,3712.2,7.3
1980,3,5776.617,3752,7.7
1980,4,5883.46,3802,7.4
1981,1,6005.717,3822.8,7.4
1981,2,5957.795,3822.8,7.4
1981,3,6030.184,3838.3,7.4
1981,4,5955.062,3809.3,8.2
1982,1,5857.333,3833.9,8.8
1982,2,5889.074,3847.7,9.4
1982,3,5866.37,3877.2,9.9
1982,4,5871.001,3947.9,10.7
1983,1,5944.02,3986.6,10.4
1983,2,6077.619,4065.7,10.1
1983,3,6197.468,4137.6,9.4
1983,4,6325.574,4203.2,8.5
1984,1,6448.264,4239.2,7.9
1984,2,6559.594,4299.9,7.5
1984,3,6623.343,4333,7.4
1984,4,6677.264,4390.1,7.3
1985,1,6740.275,4464.6,7.3
1985,2,6797.344,4505.2,7.3
1985,3,6903.523,4590.8,7.2
1985,4,6955.918,4600.9,7
1986,1,7022.757,4639.3,7
1986,2,7050.969,4688.7,7.2
1986,3,7118.95,4770.7,7
1986,4,7153.359,4799.4,6.8
1987,1,7193.019,4792.1,6.6
1987,2,7269.51,4856.3,6.3
1987,3,7332.558,4910.4,6
1987,4,7458.022,4922.2,5.9
1988,1,7496.6,5004.4,5.7
1988,2,7592.881,5040.8,5.5
1988,3,7632.082,5080.6,5.5
1988,4,7733.991,5140.4,5.3
1989,1,7806.603,5159.3,5.2
1989,2,7865.016,5182.4,5.2
1989,3,7927.393,5236.1,5.3
1989,4,7944.697,5261.7,5.4
1990,1,8027.693,5303.3,5.3
1990,2,8059.598,5320.8,5.3
1990,3,8059.476,5341,5.7
1990,4,7988.864,5299.5,6.1
1991,1,7950.164,5284.4,6.6
1991,2,8003.822,5324.7,6.8
1991,3,8037.538,5345,6.9
1991,4,8069.046,5342.6,7.1
1992,1,8157.616,5434.5,7.4
1992,2,8244.294,5466.7,7.6
1992,3,8329.361,5527.1,7.6
1992,4,8417.016,5594.6,7.4
1993,1,8432.485,5617.2,7.2
1993,2,8486.435,5671.1,7.1
1993,3,8531.108,5732.7,6.8
1993,4,8643.769,5783.7,6.6
1994,1,8727.919,5848.1,6.6
1994,2,8847.303,5891.5,6.2
1994,3,8904.289,5938.7,6
1994,4,9003.18,5997.3,5.6
1995,1,9025.267,6004.3,5.5
1995,2,9044.668,6053.5,5.7
1995,3,9120.684,6107.6,5.7
1995,4,9184.275,6150.6,5.6
1996,1,9247.188,6206.9,5.5
1996,2,9407.052,6277.1,5.5
1996,3,9488.879,6314.6,5.3
1996,4,9592.458,6366.1,5.3
1997,1,9666.235,6430.2,5.2
1997,2,9809.551,6456.2,5
1997,3,9932.672,6566,4.9
1997,4,10008.874,6641.1,4.7
1998,1,10103.425,6707.2,4.6
1998,2,10194.277,6822.6,4.4
1998,3,10328.787,6913.1,4.5
1998,4,10507.575,7019.1,4.4
1999,1,10601.179,7088.3,4.3
1999,2,10684.049,7199.9,4.3
1999,3,10819.914,7286.4,4.2
1999,4,11014.254,7389.2,4.1
2000,1,11043.044,7501.3,4
2000,2,11258.454,7571.8,3.9
2000,3,11267.867,7645.9,4
2000,4,11334.544,7713.5,3.9
2001,1,11297.171,7744.3,4.2
2001,2,11371.251,7773.5,4.4
2001,3,11340.075,7807.7,4.8
2001,4,11380.128,7930,5.5
2002,1,11477.868,7957.3,5.7
2002,2,11538.77,7997.8,5.8
2002,3,11596.43,8052,5.7
2002,4,11598.824,8080.6,5.8
2003,1,11645.819,8122.3,5.9
2003,2,11738.706,8197.8,6.2
2003,3,11935.461,8312.1,6.1
2003,4,12042.817,8358,5.8
2004,1,12127.623,8437.6,5.7
2004,2,12213.818,8483.2,5.6
2004,3,12303.533,8555.8,5.4
2004,4,12410.282,8654.2,5.4
2005,1,12534.113,8719,5.3
2005,2,12587.535,8802.9,5.1
2005,3,12683.153,8865.6,5
2005,4,12748.699,8888.5,4.9
2006,1,12915.938,8986.6,4.7
2006,2,12962.462,9035,4.7
2006,3,12965.916,9090.7,4.7
2006,4,13060.679,9181.6,4.4
2007,1,13099.901,9265.1,4.5
2007,2,13203.977,9291.5,4.5
2007,3,13321.109,9335.6,4.7
2007,4,13391.249,9363.6,4.8
2008,1,13366.865,9349.6,4.9
2008,2,13415.266,9351,5.4
2008,3,13324.6,9267.7,6
2008,4,13141.92,9195.3,6.9
2009,1,12925.41,9209.2,8.1
2009,2,12901.504,9189,9.2
2009,3,12990.341,9256,9.6
